timestamp,var_a,var_b,var_c,var_d,var_e
2023-01-01 00:00:00,54.88,472.73,19,31.92,101
2023-01-01 00:01:00,71.52,112.88,93,35.69,191
2023-01-01 00:02:00,60.28,386.54,32,2.27,82
2023-01-01 00:03:00,54.49,302.09,74,17.94,43
2023-01-01 00:04:00,42.37,921.98,372,23.86,96
2023-01-01 00:05:00,64.59,198.53,453,29.79,82
2023-01-01 00:06:00,43.76,721.21,58,20.9,11
2023-01-01 00:07:00,89.18,215.89,207,35.34,48
2023-01-01 00:08:00,96.37,625.66,114,7.16,45
2023-01-01 00:09:00,38.34,581.99,314,23.33,38
2023-01-01 00:10:00,79.17,458.72,182,23.9,159
2023-01-01 00:11:00,52.89,816.91,331,9.08,172
2023-01-01 00:12:00,56.8,222.72,449,37.89,185
2023-01-01 00:13:00,92.56,477.28,267,14.97,99
2023-01-01 00:14:00,7.1,982.42,57,10.13,159
2023-01-01 00:15:00,8.71,183.26,7,35.08,179
2023-01-01 00:16:00,2.02,545.43,10,15.33,25
2023-01-01 00:17:00,83.26,293.11,461,14.39,192
2023-01-01 00:18:00,77.82,123.81,52,18.52,191
2023-01-01 00:19:00,87.0,851.59,281,35.71,165
2023-01-01 00:20:00,97.86,577.68,399,14.2,73
2023-01-01 00:21:00,79.92,578.83,15,26.11,172
2023-01-01 00:22:00,46.15,545.33,381,20.89,22
2023-01-01 00:23:00,78.05,184.47,313,18.17,193
2023-01-01 00:24:00,11.83,568.63,334,14.19,32
2023-01-01 00:25:00,63.99,91.39,61,1.08,171
2023-01-01 00:26:00,14.34,682.64,443,43.88,11
2023-01-01 00:27:00,94.47,51.46,174,23.44,149
2023-01-01 00:28:00,52.18,189.15,406,4.88,161
2023-01-01 00:29:00,41.47,294.22,390,25.21,186
2023-01-01 00:30:00,26.46,278.93,209,44.56,33
2023-01-01 00:31:00,77.42,812.1,155,44.32,46
2023-01-01 00:32:00,45.62,287.75,58,22.18,9
2023-01-01 00:33:00,56.84,73.96,319,48.86,17
2023-01-01 00:34:00,1.88,67.98,167,6.75,145
2023-01-01 00:35:00,61.76,149.41,155,38.62,82
2023-01-01 00:36:00,61.21,394.19,365,3.31,172
2023-01-01 00:37:00,61.69,196.81,49,47.56,68
2023-01-01 00:38:00,94.37,235.02,16,49.55,61
2023-01-01 00:39:00,68.18,183.98,398,26.91,107
2023-01-01 00:40:00,35.95,298.74,339,24.2,97
2023-01-01 00:41:00,43.7,504.86,102,5.65,68
2023-01-01 00:42:00,69.76,971.35,407,0.71,40
2023-01-01 00:43:00,6.02,791.99,163,28.7,101
2023-01-01 00:44:00,66.68,172.52,413,25.53,183
2023-01-01 00:45:00,67.06,802.85,45,3.31,55
2023-01-01 00:46:00,21.04,710.09,25,19.55,14
2023-01-01 00:47:00,12.89,905.8,433,36.37,167
2023-01-01 00:48:00,31.54,434.71,45,49.29,78
2023-01-01 00:49:00,36.37,867.1,244,34.53,9
2023-01-01 00:50:00,57.02,698.09,414,30.71,12
2023-01-01 00:51:00,43.86,273.09,252,6.35,140
2023-01-01 00:52:00,98.84,389.78,392,44.66,127
2023-01-01 00:53:00,10.2,838.48,260,27.14,44
2023-01-01 00:54:00,20.89,807.71,199,39.46,179
2023-01-01 00:55:00,16.13,245.51,139,23.63,68
2023-01-01 00:56:00,65.31,836.27,479,3.83,152
2023-01-01 00:57:00,25.33,945.76,430,9.95,163
2023-01-01 00:58:00,46.63,877.77,304,5.41,24
2023-01-01 00:59:00,24.44,381.29,491,48.11,129
2023-01-01 01:00:00,15.9,541.16,446,42.63,72
2023-01-01 01:01:00,11.04,845.96,38,25.8,195
2023-01-01 01:02:00,65.63,716.4,156,46.99,144
2023-01-01 01:03:00,13.82,709.1,251,7.63,39
2023-01-01 01:04:00,19.66,285.25,111,47.13,68
2023-01-01 01:05:00,36.87,610.8,369,44.09,55
2023-01-01 01:06:00,82.1,54.46,408,46.96,85
2023-01-01 01:07:00,9.71,297.15,185,43.39,67
2023-01-01 01:08:00,83.79,202.79,496,1.66,115
2023-01-01 01:09:00,9.61,387.01,92,42.14,34
2023-01-01 01:10:00,97.65,738.23,62,16.25,166
2023-01-01 01:11:00,46.87,260.54,246,17.96,185
2023-01-01 01:12:00,97.68,178.92,129,45.05,109
2023-01-01 01:13:00,60.48,842.04,33,15.57,198
2023-01-01 01:14:00,73.93,915.1,208,3.45,118
2023-01-01 01:15:00,3.92,446.22,25,49.15,44
2023-01-01 01:16:00,28.28,244.5,332,45.95,35
2023-01-01 01:17:00,12.02,252.37,249,2.66,128
2023-01-01 01:18:00,29.61,416.18,443,43.17,132
2023-01-01 01:19:00,11.87,802.44,460,23.83,64
2023-01-01 01:20:00,31.8,561.48,356,26.93,148
2023-01-01 01:21:00,41.43,577.34,21,37.56,151
2023-01-01 01:22:00,6.41,978.16,139,40.99,160
2023-01-01 01:23:00,69.25,77.68,132,45.24,91
2023-01-01 01:24:00,56.66,475.01,420,29.93,76
2023-01-01 01:25:00,26.54,479.4,483,11.79,129
2023-01-01 01:26:00,52.32,553.97,455,24.48,92
2023-01-01 01:27:00,9.39,167.94,433,32.25,13
2023-01-01 01:28:00,57.59,168.92,6,41.52,39
2023-01-01 01:29:00,92.93,415.45,405,24.59,34
2023-01-01 01:30:00,31.86,606.22,148,10.31,167
2023-01-01 01:31:00,66.74,302.8,321,19.01,192
2023-01-01 01:32:00,13.18,497.52,50,8.75,54
2023-01-01 01:33:00,71.63,986.76,490,46.95,182
2023-01-01 01:34:00,28.94,30.43,361,12.47,138
2023-01-01 01:35:00,18.32,465.87,287,25.08,74
